topic_slug,part_of_speech,level,translations,meta
"general","noun","5","{""en"":""exterior"",""ru"":""экстерьер"",""et"":""välisilme"",""de"":""außen"",""no"":""eksteriør""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","noun","5","{""en"":""cloak"",""ru"":""плащ"",""et"":""mantel"",""de"":""Umhang"",""no"":""kappe""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","noun","5","{""en"":""timid"",""ru"":""робкий"",""et"":""pelglik"",""de"":""schüchtern"",""no"":""redd""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","adverb","5","{""en"":""reluctantly"",""ru"":""неохотно"",""et"":""vastumeelselt"",""de"":""widerwillig"",""no"":""motvillig""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","adjective","5","{""en"":""complexity"",""ru"":""сложность"",""et"":""keerukus"",""de"":""Komplexität"",""no"":""kompleksitet""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","noun","5","{""en"":""concur"",""ru"":""соглашаться"",""et"":""nõustuma"",""de"":""stimme zu"",""no"":""enig""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","noun","5","{""en"":""avid"",""ru"":""жадный"",""et"":""innukas"",""de"":""begeistert"",""no"":""ivrig""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","noun","5","{""en"":""marvel"",""ru"":""удивляться"",""et"":""imestama"",""de"":""Wunder"",""no"":""vidunder""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","noun","5","{""en"":""wing"",""ru"":""крыло"",""et"":""tiib"",""de"":""Flügel"",""no"":""vinge""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","adjective","5","{""en"":""enviable"",""ru"":""завидный"",""et"":""kadestamisväärne"",""de"":""beneidenswert"",""no"":""misunnelsesverdig""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","adjective","5","{""en"":""organizational"",""ru"":""организационный"",""et"":""organisatsiooniline"",""de"":""organisatorisch"",""no"":""organisatorisk""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","noun","5","{""en"":""psychiatrist"",""ru"":""психиатр"",""et"":""psühhiaater"",""de"":""Psychiater"",""no"":""psykiater""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","adjective","5","{""en"":""psychiatric"",""ru"":""психиатрический"",""et"":""psühhiaatriline"",""de"":""psychiatrisch"",""no"":""psykiatrisk""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","adjective","5","{""en"":""clinical"",""ru"":""клинический"",""et"":""kliiniline"",""de"":""klinisch"",""no"":""klinisk""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","noun","5","{""en"":""corps"",""ru"":""корпус"",""et"":""korpus"",""de"":""Korps"",""no"":""korps""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","adjective","5","{""en"":""forensic"",""ru"":""судебно-медицинский"",""et"":""kohtuekspertiisi"",""de"":""forensisch"",""no"":""rettsmedisinsk""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","noun","5","{""en"":""juvenile"",""ru"":""несовершеннолетний"",""et"":""alaealine"",""de"":""jugendlich"",""no"":""ung""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","noun","5","{""en"":""jurisdiction"",""ru"":""юрисдикция"",""et"":""jurisdiktsiooni"",""de"":""Gerichtsstand"",""no"":""jurisdiksjon""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","adjective","5","{""en"":""accustomed"",""ru"":""привыкший"",""et"":""harjunud"",""de"":""gewöhnt"",""no"":""vant""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","noun","5","{""en"":""trauma"",""ru"":""травма"",""et"":""trauma"",""de"":""Trauma"",""no"":""traumer""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","adjective","5","{""en"":""traumatic"",""ru"":""травмирующий"",""et"":""traumaatiline"",""de"":""traumatisch"",""no"":""traumatisk""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","noun","5","{""en"":""constraint"",""ru"":""ограничение"",""et"":""piirang"",""de"":""Einschränkung"",""no"":""begrensning""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","noun","5","{""en"":""revealing"",""ru"":""раскрывающий"",""et"":""paljastav"",""de"":""aufschlussreich"",""no"":""avslørende""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","adjective","5","{""en"":""eccentric"",""ru"":""эксцентричный"",""et"":""ekstsentriline"",""de"":""exzentrisch"",""no"":""eksentrisk""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","adjective","5","{""en"":""sanctity"",""ru"":""святость"",""et"":""pühadus"",""de"":""Heiligkeit"",""no"":""hellighet""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","noun","5","{""en"":""conform"",""ru"":""соответствовать"",""et"":""vastama"",""de"":""konform"",""no"":""samsvare""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","noun","5","{""en"":""norms"",""ru"":""нормы"",""et"":""normid"",""de"":""Normen"",""no"":""normer""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","noun","5","{""en"":""quirk"",""ru"":""галтель"",""et"":""veidrus"",""de"":""Eigenart"",""no"":""finurlighet""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","adjective","5","{""en"":""oddity"",""ru"":""странность"",""et"":""veidrus"",""de"":""Kuriosität"",""no"":""raritet""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","noun","5","{""en"":""compel"",""ru"":""принуждать"",""et"":""sundima"",""de"":""zwingen"",""no"":""tvinge""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","noun","5","{""en"":""compulsion"",""ru"":""принуждение"",""et"":""sund"",""de"":""Zwang"",""no"":""tvang""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","adjective","5","{""en"":""conceive"",""ru"":""зачать"",""et"":""rasestuda"",""de"":""begreifen"",""no"":""bli gravid""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","adjective","5","{""en"":""conceivable"",""ru"":""мыслимый"",""et"":""mõeldav"",""de"":""denkbar"",""no"":""tenkelig""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","noun","5","{""en"":""assertion"",""ru"":""утверждение"",""et"":""väide"",""de"":""Behauptung"",""no"":""påstand""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","adjective","5","{""en"":""individuality"",""ru"":""индивидуальность"",""et"":""individuaalsus"",""de"":""Individualität"",""no"":""individualitet""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","noun","5","{""en"":""psyche"",""ru"":""психика"",""et"":""psüühika"",""de"":""Psyche"",""no"":""psyke""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","adjective","5","{""en"":""conformity"",""ru"":""соответствие"",""et"":""vastavus"",""de"":""Konformität"",""no"":""samsvar""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","adjective","5","{""en"":""unconventional"",""ru"":""нетрадиционный"",""et"":""ebatraditsiooniline"",""de"":""unkonventionell"",""no"":""ukonvensjonelle""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","verb","5","{""en"":""congregate"",""ru"":""собираться"",""et"":""kogunema"",""de"":""versammeln"",""no"":""samles""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","adverb","5","{""en"":""rally"",""ru"":""митинг"",""et"":""ralli"",""de"":""Kundgebung"",""no"":""rally""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","adjective","5","{""en"":""resent"",""ru"":""возмущаться"",""et"":""pahaks panna"",""de"":""verärgert"",""no"":""misliker seg""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","adjective","5","{""en"":""self-conscious"",""ru"":""осознанный"",""et"":""iseteadlik"",""de"":""selbstbewusst"",""no"":""selvbevisst""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","adjective","5","{""en"":""wary"",""ru"":""осторожный"",""et"":""ettevaatlikud"",""de"":""vorsichtig"",""no"":""på vakt""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","noun","5","{""en"":""stoke"",""ru"":""топить"",""et"":""stoke"",""de"":""schüren"",""no"":""stoke""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","adverb","5","{""en"":""dynamically"",""ru"":""динамически"",""et"":""dünaamiliselt"",""de"":""dynamisch"",""no"":""dynamisk""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","noun","5","{""en"":""hostess"",""ru"":""хозяйка"",""et"":""perenaine"",""de"":""Gastgeberin"",""no"":""vertinne""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","verb","5","{""en"":""perpetuate"",""ru"":""увековечить"",""et"":""põlistama"",""de"":""verewigen"",""no"":""forevige""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","noun","5","{""en"":""naturalness"",""ru"":""естественность"",""et"":""loomulikkus"",""de"":""Natürlichkeit"",""no"":""naturlighet""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","noun","5","{""en"":""exhibitionist"",""ru"":""эксгибиционист"",""et"":""ekshibitsionist"",""de"":""exhibitionistisch"",""no"":""ekshibisjonist""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
"general","verb","5","{""en"":""isolate"",""ru"":""изолировать"",""et"":""isoleerida"",""de"":""isolieren"",""no"":""isolere""}","{""source"":""c1_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":5}"
