'english_word';'russian_translation'
'a.m.';'утро'
'about';'о'
'above';'выше'
'action';'действие'
'activity';'активность'
'actor';'актер'
'add';'добавлять'
'address';'адрес'
'afraid';'испуганный'
'after';'после'
'afternoon';'полдень'
'again';'снова'
'age';'возраст'
'ago';'назад'
'agree';'соглашаться'
'airplane';'самолет'
'airport';'аэропорт'
'album';'альбом'
'all';'все'
'all right';'все в порядке'
'almost';'почти'
'alone';'один'
'along';'вдоль'
'already';'уже'
'also';'также'
'always';'всегда'
'am';'являюсь'
'an';'а'
'and';'и'
'angry';'злой'
'animal';'животное'
'another';'другой'
'answer';'отвечать'
'any';'любой'
'anybody';'кто-нибудь'
'anyone';'любой'
'anything';'что-либо'
'apple';'яблоко'
'April';'апрель'
'apron';'фартук'
'are';'являются'
'arm';'рука'
'around';'вокруг'
'arrive';'приезжать'
'art';'искусство'
'article';'статья'
'as';'как'
'ask';'просить'
'at';'в'
'August';'Август'
'aunt';'тетя'
'autumn';'осень'
'awake';'бодрствующий'
'away';'прочь'
'baby';'малыш'
'back';'назад'
'bad';'плохой'
'bag';'сумка'
'ball';'мяч'
'banana';'банан'
'band';'группа'
'bank';'банк'
'bar';'бар'
'baseball';'бейсбол'
'basketball';'баскетбол'
'bat';'летучая мышь'
'bath';'ванна'
'bathroom';'ванная комната'
'be';'быть'
'beach';'пляж'
'bean';'боб'
'bear';'медведь'
'beautiful';'красивый'
'because';'потому что'
'become';'становиться'
'bed';'кровать'
'bedroom';'спальня'
'bee';'пчела'
'beef';'говядина'
'before';'до'
'begin';'начинать'
'behind';'позади'
'believe';'полагать'
'bell';'колокол'
'below';'ниже'
'beside';'рядом'
'best';'лучший'
'better';'лучше'
'between';'между'
'bicycle';'велосипед'
'big';'большой'
'bike';'велосипед'
'bird';'птица'
'birth';'рождение'
'birthday';'день рождения'
'biscuit';'бисквит'
'black';'черный'
'blank';'пустой'
'block';'блокировать'
'blow';'дуть'
'blue';'синий'
'board';'доска'
'boat';'лодка'
'body';'тело'
'bone';'кость'
'book';'книга'
'bookstore';'книжный магазин'
'boring';'скучный'
'borrow';'занимать'
'both';'оба'
'bottle';'бутылка'
'bottom';'нижний'
'bowl';'чаша'
'box';'коробка'
'boy';'мальчик'
'boyfriend';'парень'
'brain';'мозг'
'bread';'хлеб'
'break';'перерыв'
'breakfast';'завтрак'
'breathe';'дышать'
'bridge';'мост'
'bright';'яркий'
'bring';'приносить'
'broken';'сломанный'
'brother';'брат'
'brown';'коричневый'
'brush';'щетка'
'bucket';'ведро'
'build';'строить'
'building';'здание'
'burger';'бургер'
'bus';'автобус'
'business';'бизнес'
'busy';'занятый'
'but';'но'
'butter';'масло'
'butterfly';'бабочка'
'button';'кнопка'
'buy';'купить'
'by';'к'
'bye';'пока'
'cafe/café';'кафе/кофе'
'cake';'торт'
'call';'вызов'
'camera';'камера'
'camp';'лагерь'
'can';'может'
'candy';'конфеты'
'cap';'кепка'
'car';'машина'
'card';'карта'
'care';'забота'
'careful';'осторожный'
'carefully';'осторожно'
'carry';'нести'
'cartoon';'мультфильм'
'case';'случай'
'cat';'кот'
'catch';'ловить'
'CD';'компакт-диск'
'CD player';'CD-плеер'
'celebrate';'праздновать'
'celebration';'праздник'
'chair';'стул'
'change';'изменять'
'character';'характер'
'check';'проверять'
'cheese';'сыр'
'chicken';'курица'
'child';'ребенок'
'chocolate';'шоколад'
'choose';'выбирать'
'church';'церковь'
'cinema';'кино'
'circle';'круг'
'city';'город'
'class';'сорт'
'classmate';'одноклассник'
'classroom';'класс'
'clean';'чистый'
'clever';'умный'
'climb';'взбираться'
'clock';'часы'
'close';'закрывать'
'closed';'закрыто'
'cloth';'ткань'
'clothes';'одежда'
'cloud';'облако'
'cloudy';'пасмурно'
'club';'клуб'
'coach';'тренер'
'coat';'пальто'
'code';'код'
'coffee';'кофе'
'coke';'кокс'
'cold';'холодный'
'collect';'собирать'
'collection';'коллекция'
'college';'колледж'
'color';'цвет'
'come';'приходить'
'computer';'компьютер'
'concert';'концерт'
'contest';'конкурс'
'conversation';'беседа'
'cook';'готовить'
'cookie';'печенье'
'cool';'прохладный'
'cop';'полицейский'
'copy';'копировать'
'corn';'кукуруза'
'corner';'угол'
'correct';'правильный'
'couch';'диван'
'could';'мог'
'course';'курс'
'cousin';'двоюродный брат'
'cover';'крышка'
'cow';'корова'
'cream';'крем'
'credit card';'кредитная карта'
'cry';'плакать'
'culture';'культура'
'cup';'чашка'
'cut';'резать'
'cute';'милый'
'dad';'папа'
'daddy';'папочка'
'dance';'танцевать'
'dancing';'танцы'
'dark';'темный'
'date';'дата'
'daughter';'дочь'
'day';'день'
'dear';'дорогой'
'December';'декабрь'
'delicious';'вкусный'
'describe';'описывать'
'design';'дизайн'
'desk';'рабочий стол'
'dictionary';'словарь'
'did';'делал'
'difference';'разница'
'different';'другой'
'difficult';'трудный'
'dig';'копать'
'dining room';'столовая'
'dinner';'ужин'
'dirty';'грязный'
'discuss';'обсуждать'
'dish';'блюдо'
'do';'делать'
'doctor';'доктор'
'does';'делает'
'dog';'собака'
'doing';'делает'
'doll';'кукла'
'dollar';'доллар'
'door';'дверь'
'down';'вниз'
'drama';'драма'
'draw';'рисовать'
'dream';'мечтать'
'dress';'одеваться'
'drink';'напиток'
'drive';'водить машину'
'driver';'водитель'
'drop';'уронить'
'drum';'барабан'
'dry';'сухой'
'due';'должный'
'DVD';'DVD'
'each';'каждый'
'each other';'друг друга'
'ear';'ухо'
'early';'рано'
'easy';'легкий'
'eat';'есть'
'egg';'яйцо'
'eight';'восемь'
'eighteen';'восемнадцать'
'eighty';'восемьдесят'
'either';'или'
'elementary';'элементарный'
'eleven';'одиннадцать'
'else';'еще'
'email';'электронная почта'
'end';'конец'
'engineer';'инженер'
'enjoy';'наслаждаться'
'evening';'вечер'
'event';'событие'
'every';'каждый'
'everybody';'все'
'everyday';'каждый день'
'everyone';'каждый'
'everything';'все'
'everywhere';'повсюду'
'example';'пример'
'excellent';'отличный'
'excited';'взволнованный'
'exciting';'захватывающий'
'excuse';'извинение'
'exercise';'упражнение'
'expensive';'дорогой'
'eye';'глаз'
'face';'лицо'
'factory';'фабрика'
'fair';'справедливый'
'fairy';'сказочный'
'false';'ЛОЖЬ'
'family';'семья'
'famous';'известный'
'fan';'вентилятор'
'farm';'ферма'
'farmer';'фермер'
'fast';'быстрый'
'fat';'толстый'
'father';'отец'
'favorite';'любимый'
'February';'февраль'
'feed';'кормить'
'feel';'чувствовать'
'feeling';'чувство'
'festival';'фестиваль'
'fever';'высокая температура'
'field';'поле'
'fifteen';'пятнадцать'
'fifty';'пятьдесят'
'fight';'драться'
'file';'файл'
'fill';'наполнять'
'find';'находить'
'fine';'отлично'
'finish';'заканчивать'
'fire';'огонь'
'first';'первый'
'fish';'рыба'
'fishing';'рыбалка'
'five';'пять'
'flag';'флаг'
'flat';'плоский'
'floor';'пол'
'flower';'цветок'
'fly';'летать'
'focus';'фокус'
'foggy';'туманный'
'following';'следующий'
'food';'еда'
'football';'футбол'
'for';'для'
'foreign';'иностранный'
'foreigner';'иностранец'
'forget';'забывать'
'form';'форма'
'forty';'сорок'
'four';'четыре'
'fourteen';'четырнадцать'
'free';'бесплатно'
'Friday';'Пятница'
'friend';'друг'
'frog';'лягушка'
'from';'от'
'front';'передний'
'fruit';'фрукты'
'full';'полный'
'fun';'веселье'
'funny';'забавный'
'future';'будущее'
'game';'игра'
'garbage';'мусор'
'garden';'сад'
'get';'получать'
'ghost';'призрак'
'gift';'подарок'
'girl';'девочка'
'girlfriend';'подруга'
'give';'давать'
'glad';'радостный'
'glass';'стекло'
'glasses';'очки'
'go';'идти'
'goal';'цель'
'gold';'золото'
'good';'хороший'
'good afternoon';'добрый день'
'good morning';'доброе утро'
'good night';'cпокойной ночи'
'grade';'оценка'
'grammar';'грамматика'
'grandfather';'дедушка'
'grandma';'бабушка'
'grandmother';'бабушка'
'grandpa';'дедушка'
'grandparent';'дедушка и бабушка'
'grape';'виноград'
'grass';'трава'
'gray';'серый'
'great';'большой'
'green';'зеленый'
'greet';'приветствовать'
'ground';'земля'
'group';'группа'
'grow';'расти'
'guess';'предполагать'
'guest';'гость'
'guitar';'гитара'
'guy';'парень'
'habit';'привычка'
'had';'имел'
'hair';'волосы'
'haircut';'стрижка'
'half';'половина'
'hall';'зал'
'hamburger';'гамбургер'
'hand';'рука'
'handsome';'красивый'
'happen';'случаться'
'happy';'счастливый'
'hard';'жесткий'
'has';'имеет'
'hat';'шляпа'
'have';'иметь'
'have to';'придется'
'he';'он'
'head';'голова'
'headache';'головная боль'
'health';'здоровье'
'healthy';'здоровый'
'hear';'слышать'
'heart';'сердце'
'heavy';'тяжелый'
'hello';'привет'
'help';'помощь'
'her';'ее'
'here';'здесь'
'hers';'ее'
'hi';'привет'
'hide';'скрывать'
'high';'высокий'
'hill';'холм'
'him';'ему'
'his';'его'
'history';'история'
'hobby';'хобби'
'hold';'держать'
'hole';'дыра'
'holiday';'праздничный день'
'home';'дом'
'hometown';'родной город'
'homework';'домашнее задание'
'hope';'надеяться'
'horse';'лошадь'
'hospital';'больница'
'hot';'горячий'
'hotel';'отель'
'hour';'час'
'house';'дом'
'how';'как'
'hungry';'голодный'
'hurry';'торопиться'
'hurt';'повредить'
