topic_slug,part_of_speech,level,translations,meta
"general","adjective","4","{""en"":""abandoned"",""ru"":""заброшенный"",""et"":""mahajäetud"",""de"":""aufgegeben"",""no"":""forlatt""}","{""source"":""b2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":4}"
"general","adverb","4","{""en"":""abnormally"",""ru"":""ненормально"",""et"":""ebanormaalselt"",""de"":""ungewöhnlich"",""no"":""unormalt""}","{""source"":""b2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":4}"
"general","noun","4","{""en"":""abolish"",""ru"":""отменять"",""et"":""tühistada"",""de"":""abschaffen"",""no"":""avskaffe""}","{""source"":""b2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":4}"
"general","adjective","4","{""en"":""aboriginal"",""ru"":""абориген"",""et"":""põlisrahvas"",""de"":""Ureinwohner"",""no"":""aboriginal""}","{""source"":""b2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":4}"
"general","adverb","4","{""en"":""abruptly"",""ru"":""резко"",""et"":""järsult"",""de"":""abrupt"",""no"":""brått""}","{""source"":""b2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":4}"
"general","noun","4","{""en"":""absentee"",""ru"":""заочный"",""et"":""puuduja"",""de"":""abwesend"",""no"":""fraværende""}","{""source"":""b2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":4}"
"general","noun","4","{""en"":""absurd"",""ru"":""абсурдный"",""et"":""absurdne"",""de"":""absurd"",""no"":""absurd""}","{""source"":""b2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":4}"
"general","noun","4","{""en"":""abuse"",""ru"":""злоупотреблять"",""et"":""kuritarvitamine"",""de"":""Missbrauch"",""no"":""misbruk""}","{""source"":""b2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":4}"
"general","noun","4","{""en"":""access"",""ru"":""доступ"",""et"":""juurdepääs"",""de"":""Zugang"",""no"":""tilgang""}","{""source"":""b2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":4}"
"general","adjective","4","{""en"":""accessibility"",""ru"":""доступность"",""et"":""ligipääsetavus"",""de"":""Zugänglichkeit"",""no"":""tilgjengelighet""}","{""source"":""b2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":4}"
"general","noun","4","{""en"":""accommodation"",""ru"":""размещение"",""et"":""majutus"",""de"":""Unterkunft"",""no"":""overnatting""}","{""source"":""b2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":4}"
"general","adverb","4","{""en"":""accordingly"",""ru"":""соответственно"",""et"":""vastavalt"",""de"":""entsprechend"",""no"":""tilsvarende""}","{""source"":""b2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":4}"
"general","verb","4","{""en"":""accumulate"",""ru"":""накапливать"",""et"":""koguneda"",""de"":""ansammeln"",""no"":""akkumulere""}","{""source"":""b2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":4}"
"general","noun","4","{""en"":""accusation"",""ru"":""обвинение"",""et"":""süüdistus"",""de"":""Vorwurf"",""no"":""anklage""}","{""source"":""b2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":4}"
"general","noun","4","{""en"":""ache"",""ru"":""болеть"",""et"":""valutama"",""de"":""Schmerzen"",""no"":""verke""}","{""source"":""b2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":4}"
"general","adjective","4","{""en"":""achievable"",""ru"":""достижимый"",""et"":""saavutatav"",""de"":""erreichbar"",""no"":""oppnåelig""}","{""source"":""b2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":4}"
