topic_slug,part_of_speech,level,translations,meta
"general","adjective","2","{""en"":""ability"",""ru"":""способность"",""et"":""võime"",""de"":""Fähigkeit"",""no"":""evne""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","noun","2","{""en"":""abroad"",""ru"":""за границей"",""et"":""välismaal"",""de"":""im Ausland"",""no"":""i utlandet""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"actions","noun","2","{""en"":""accept"",""ru"":""принимать"",""et"":""aktsepteerima"",""de"":""akzeptiere"",""no"":""godta""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","adjective","2","{""en"":""acceptable"",""ru"":""приемлемый"",""et"":""vastuvõetav"",""de"":""akzeptabel"",""no"":""akseptabelt""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","adjective","2","{""en"":""accident"",""ru"":""несчастный случай"",""et"":""õnnetus"",""de"":""Unfall"",""no"":""ulykke""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","noun","2","{""en"":""account"",""ru"":""счет"",""et"":""konto"",""de"":""Konto"",""no"":""konto""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","noun","2","{""en"":""achieve"",""ru"":""достигать"",""et"":""saavutada"",""de"":""erreichen"",""no"":""oppnå""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"grammar","preposition","2","{""en"":""across"",""ru"":""через"",""et"":""risti"",""de"":""quer"",""no"":""på tvers""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","noun","2","{""en"":""act"",""ru"":""действовать"",""et"":""tegutsema"",""de"":""handeln"",""no"":""handle""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","adverb","2","{""en"":""actually"",""ru"":""на самом деле"",""et"":""tegelikult"",""de"":""eigentlich"",""no"":""faktisk""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","noun","2","{""en"":""addition"",""ru"":""добавление"",""et"":""lisamine"",""de"":""Ergänzung"",""no"":""tillegg""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","adjective","2","{""en"":""additional"",""ru"":""дополнительный"",""et"":""täiendavad"",""de"":""zusätzlich"",""no"":""tillegg""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","adjective","2","{""en"":""adjective"",""ru"":""прилагательное"",""et"":""omadussõna"",""de"":""Adjektiv"",""no"":""adjektiv""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","noun","2","{""en"":""adjust"",""ru"":""регулировать"",""et"":""kohandada"",""de"":""anpassen"",""no"":""justere""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","noun","2","{""en"":""admire"",""ru"":""восхищаться"",""et"":""imetleda"",""de"":""bewundern"",""no"":""beundre""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","noun","2","{""en"":""admit"",""ru"":""признавать"",""et"":""tunnistama"",""de"":""zugeben"",""no"":""innrømme""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","noun","2","{""en"":""adult"",""ru"":""взрослый"",""et"":""täiskasvanud"",""de"":""Erwachsener"",""no"":""voksen""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","adjective","2","{""en"":""advanced"",""ru"":""передовой"",""et"":""edasijõudnud"",""de"":""fortgeschritten"",""no"":""avansert""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","noun","2","{""en"":""advantage"",""ru"":""преимущество"",""et"":""eelis"",""de"":""Vorteil"",""no"":""fordel""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","noun","2","{""en"":""adventure"",""ru"":""приключение"",""et"":""seiklus"",""de"":""Abenteuer"",""no"":""eventyr""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","adjective","2","{""en"":""advertisement"",""ru"":""реклама"",""et"":""reklaam"",""de"":""Werbung"",""no"":""annonse""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","noun","2","{""en"":""advertising"",""ru"":""реклама"",""et"":""reklaam"",""de"":""Werbung"",""no"":""annonsering""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","noun","2","{""en"":""advice"",""ru"":""совет"",""et"":""nõuannet"",""de"":""Rat"",""no"":""råd""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","verb","2","{""en"":""advise"",""ru"":""советовать"",""et"":""nõu anda"",""de"":""beraten"",""no"":""gi råd""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","noun","2","{""en"":""affair"",""ru"":""роман"",""et"":""afäär"",""de"":""Affäre"",""no"":""affære""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"grammar","preposition","2","{""en"":""after"",""ru"":""после"",""et"":""pärast"",""de"":""danach"",""no"":""etter""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"grammar","preposition","2","{""en"":""against"",""ru"":""против"",""et"":""vastu"",""de"":""dagegen"",""no"":""mot""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","adjective","2","{""en"":""aged"",""ru"":""в возрасте"",""et"":""vanuses"",""de"":""gealtert"",""no"":""alderen""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","adjective","2","{""en"":""agency"",""ru"":""агентство"",""et"":""agentuur"",""de"":""Agentur"",""no"":""byrå""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","adjective","2","{""en"":""agent"",""ru"":""агент"",""et"":""agent"",""de"":""Agent"",""no"":""agent""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","noun","2","{""en"":""ahead"",""ru"":""предстоящий"",""et"":""ees"",""de"":""voraus"",""no"":""fremover""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","noun","2","{""en"":""air"",""ru"":""воздух"",""et"":""õhku"",""de"":""Luft"",""no"":""luft""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","noun","2","{""en"":""aisle"",""ru"":""ряд"",""et"":""vahekäiku"",""de"":""Gang"",""no"":""midtgang""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","noun","2","{""en"":""alarm"",""ru"":""тревога"",""et"":""äratus"",""de"":""Alarm"",""no"":""alarm""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"time","noun","2","{""en"":""alarm clock"",""ru"":""будильник"",""et"":""äratuskell"",""de"":""Wecker"",""no"":""vekkerklokke""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","adjective","2","{""en"":""alive"",""ru"":""живой"",""et"":""elus"",""de"":""lebendig"",""no"":""i live""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","noun","2","{""en"":""all"",""ru"":""все"",""et"":""kõik"",""de"":""alle"",""no"":""alle""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"actions","verb","2","{""en"":""allow"",""ru"":""позволять"",""et"":""lubada"",""de"":""erlauben"",""no"":""tillate""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","noun","2","{""en"":""alone"",""ru"":""один"",""et"":""üksi"",""de"":""allein"",""no"":""alene""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"grammar","preposition","2","{""en"":""along"",""ru"":""вдоль"",""et"":""kaasa"",""de"":""entlang"",""no"":""sammen""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","noun","2","{""en"":""alright"",""ru"":""хорошо"",""et"":""hästi"",""de"":""alles klar"",""no"":""greit""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"grammar","conjunction","2","{""en"":""although"",""ru"":""хотя"",""et"":""kuigi"",""de"":""obwohl"",""no"":""selv om""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","noun","2","{""en"":""ambition"",""ru"":""амбиции"",""et"":""ambitsioon"",""de"":""Ehrgeiz"",""no"":""ambisjon""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"grammar","preposition","2","{""en"":""among"",""ru"":""среди"",""et"":""seas"",""de"":""unter"",""no"":""blant""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","adjective","2","{""en"":""amused"",""ru"":""изумленный"",""et"":""lõbustas"",""de"":""amüsiert"",""no"":""underholdt""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","adjective","2","{""en"":""amusement"",""ru"":""развлечение"",""et"":""lõbustus"",""de"":""Unterhaltung"",""no"":""fornøyelse""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","noun","2","{""en"":""ancestor"",""ru"":""предок"",""et"":""esivanem"",""de"":""Vorfahr"",""no"":""stamfar""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","adjective","2","{""en"":""ancient"",""ru"":""древний"",""et"":""iidne"",""de"":""uralt"",""no"":""eldgammel""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","noun","2","{""en"":""angel"",""ru"":""ангел"",""et"":""ingel"",""de"":""Engel"",""no"":""engel""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","adverb","2","{""en"":""angrily"",""ru"":""сердито"",""et"":""vihaselt"",""de"":""wütend"",""no"":""sint""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","noun","2","{""en"":""ankle"",""ru"":""лодыжка"",""et"":""pahkluu"",""de"":""Knöchel"",""no"":""ankel""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","adjective","2","{""en"":""anniversary"",""ru"":""годовщина"",""et"":""aastapäeva"",""de"":""Jubiläum"",""no"":""jubileum""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","adjective","2","{""en"":""annoy"",""ru"":""раздражать"",""et"":""tüütama"",""de"":""ärgern"",""no"":""irritere""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","noun","2","{""en"":""annoying"",""ru"":""раздражающий"",""et"":""tüütu"",""de"":""nervig"",""no"":""irriterende""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","noun","2","{""en"":""another"",""ru"":""другой"",""et"":""teine"",""de"":""ein anderer"",""no"":""en annen""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","adjective","2","{""en"":""anxious"",""ru"":""тревожный"",""et"":""murelik"",""de"":""ängstlich"",""no"":""engstelig""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","noun","2","{""en"":""anymore"",""ru"":""больше"",""et"":""enam"",""de"":""mehr"",""no"":""lenger""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","adjective","2","{""en"":""anyway"",""ru"":""в любом случае"",""et"":""igatahes"",""de"":""Jedenfalls"",""no"":""uansett""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","noun","2","{""en"":""anywhere"",""ru"":""где угодно"",""et"":""kuhu iganes"",""de"":""überall"",""no"":""hvor som helst""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","noun","2","{""en"":""apart"",""ru"":""отдельно"",""et"":""peale"",""de"":""auseinander"",""no"":""fra hverandre""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","adjective","2","{""en"":""apartment"",""ru"":""квартира"",""et"":""korter"",""de"":""Wohnung"",""no"":""leilighet""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","verb","2","{""en"":""apologize"",""ru"":""извиниться"",""et"":""vabandage"",""de"":""entschuldigen"",""no"":""be om unnskyldning""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","adverb","2","{""en"":""apparently"",""ru"":""видимо"",""et"":""ilmselt"",""de"":""anscheinend"",""no"":""tilsynelatende""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","verb","2","{""en"":""appear"",""ru"":""появляться"",""et"":""ilmuvad"",""de"":""erscheinen"",""no"":""vises""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","noun","2","{""en"":""appearance"",""ru"":""появление"",""et"":""välimus"",""de"":""Aussehen"",""no"":""utseende""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","adverb","2","{""en"":""apply"",""ru"":""применять"",""et"":""kohaldada"",""de"":""bewerben"",""no"":""søke""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","adjective","2","{""en"":""appointment"",""ru"":""встреча"",""et"":""kohtumine"",""de"":""Termin"",""no"":""avtale""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","verb","2","{""en"":""appreciate"",""ru"":""ценить"",""et"":""hindan"",""de"":""schätzen"",""no"":""setter pris på""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","verb","2","{""en"":""appropriate"",""ru"":""соответствующий"",""et"":""asjakohane"",""de"":""angemessen"",""no"":""passende""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
"general","noun","2","{""en"":""architecture"",""ru"":""архитектура"",""et"":""arhitektuur"",""de"":""Architektur"",""no"":""arkitektur""}","{""source"":""a2_words_ru.csv"",""translationSource"":""machine-translate.googleapis.com"",""reviewStatus"":""needs_review"",""levelSource"":2}"
